Subject area of degree,Skill marker,Median salary,Academic year,Female,Male,Other,Total
22 Education and teaching,All,25000,2019/20,35485,5550,15,41050
23 Combined and general studies,High skilled,25000,2019/20,1785,1300,5,3090
23 Combined and general studies,Medium skilled,20500,2019/20,1785,1300,5,3090
23 Combined and general studies,Low skilled,19000,2019/20,1785,1300,5,3090
23 Combined and general studies,All,25000,2019/20,1785,1300,5,3090
"24 Media, journalism and communications",High skilled,22000,2019/20,19445,13910,55,33410
"24 Media, journalism and communications",Medium skilled,20000,2019/20,19445,13910,55,33410
"24 Media, journalism and communications",Low skilled,18000,2019/20,19445,13910,55,33410
"24 Media, journalism and communications",All,21000,2019/20,19445,13910,55,33410
"25 Design, and creative and performing arts",High skilled,22000,2019/20,97340,56410,460,154215
"25 Design, and creative and performing arts",Medium skilled,19500,2019/20,97340,56410,460,154215
"25 Design, and creative and performing arts",Low skilled,18000,2019/20,97340,56410,460,154215
"25 Design, and creative and performing arts",All,20000,2019/20,97340,56410,460,154215
"26 Geography, earth and environmental studies (social sciences)",High skilled,25000,2019/20,5355,3725,0,9085
"26 Geography, earth and environmental studies (social sciences)",Medium skilled,22000,2019/20,5355,3725,0,9085
"26 Geography, earth and environmental studies (social sciences)",Low skilled,18500,2019/20,5355,3725,0,9085
"26 Geography, earth and environmental studies (social sciences)",All,25000,2019/20,5355,3725,0,9085
Total - Non-science subject areas,High skilled,25000,2019/20,526380,349915,985,877280
Total - Non-science subject areas,Medium skilled,20000,2019/20,526380,349915,985,877280
Total - Non-science subject areas,Low skilled,18500,2019/20,526380,349915,985,877280
Total - Non-science subject areas,All,23000,2019/20,526380,349915,985,877280
Total - Science subject areas,High skilled,26000,2019/20,377285,356210,600,734095
Total - Science subject areas,Medium skilled,20000,2019/20,377285,356210,600,734095
Total - Science subject areas,Low skilled,19000,2019/20,377285,356210,600,734095
Total - Science subject areas,All,25000,2019/20,377285,356210,600,734095
